x, y, ymin, ymax
0, 13686.304589673207, 13686.304589673207, 13686.304589673207
1, 244122.965641953, 244122.965641953, 244122.965641953
2, 962929.4755877035, 962929.4755877035, 962929.4755877035
3, 1428571.4285714286, 1428571.4285714286, 1428571.4285714286
6, 1817359, 1817359, 1817359
7, 1971146.5294918683, 153737.13432835821, 245373.1343283582
14, 349495.2089281957, 2898507.462686567, 36746268.65671642
21, 180817.39344722853, 172835.8208955224, 182238.805970149
24, 153707.05244122967, 153707.05244122967, 153707.05244122967
28, 119774.5548882023, 94179.1044776119, 169.29850746268656
30, 108499.095840868, 108499.095840868, 108499.095840868
35, 81548.12300692064, 60954.53731343283582, 111940.2985074627
40, 58770.343580470166, 58770.343580470166, 58770.343580470166
42, 20661.49963270131, 20055.52238805970149, 42074.6268656717
47, 27190.19146444319, 20049.07462686567165, 53725.37313432836
54, 20101.88560873867, 1548.23880597014925, 40477.61194029851

