x, y, ymin, ymax
0.0, 114.56974443804988, 114.56974443804988, 114.56974443804988
5, 120.52481805696445, 120.52481805696445, 120.52481805696445
12, 181.19119754365673, 181.19119754365673, 181.19119754365673
19, 7752.583419839356, 366.6653246926824, 156466.22064711792
26, 103591.5305813016, 37388.80498717461, 767897.5771146777
33, 106752.10214520626, 3958.293618732324, 323178.8409196662
40, 13710.094201319278, 2418.565276011667, 73184.33850775952
47, 733919.2408350712, 5341.415635233412, 906413.800826002
52, 100460.712903414, 18573.774536205286, 499539.39476273795
59, 102214.2367789145, 4532.517053329409, 3402815.206939098
65, 103312.820507851, 7992.660319949178, 9038297.391437735

